asset,short_w,long_w,low_q,high_q,slope_lb,dte,iv_mult,annual,vol,sharpe,max_dd,total,active_days,long_days,short_days,trades
SPY,10,20,0.2,0.8,5,21,1.2,0.03780748420008906,0.04645749660103737,0.8138080388783765,-0.07065214061143688,1.007121677818739,745,414,331,355
SPY,10,20,0.3,0.8,5,30,1.2,0.04420687116394317,0.05489157620778657,0.8053489117638467,-0.0787290087440411,1.252656893808707,902,571,331,417
SPY,10,20,0.3,0.8,5,21,1.2,0.038285940117343875,0.04758945853668453,0.8045046380981831,-0.07065214061143686,1.0245650933218995,902,571,331,417
SPY,10,20,0.2,0.8,5,30,1.2,0.04235799878276292,0.053597686182955365,0.7902952869676902,-0.07872900874404123,1.1789432175073498,745,414,331,355
SPY,10,20,0.3,0.8,5,30,1.1,0.037848622874153026,0.050136001717215356,0.754919051735169,-0.07456543521911065,1.008615891123764,902,571,331,417
SPY,10,20,0.3,0.8,5,21,1.1,0.0323021687742584,0.043656576882690916,0.739915290680192,-0.06775362038888437,0.8163811226100877,902,571,331,417
SPY,10,20,0.2,0.8,5,21,1.1,0.03133823223300625,0.04265781325927568,0.734642257504654,-0.0677536203888844,0.784801936902737,745,414,331,355
SPY,10,20,0.2,0.8,5,30,1.1,0.0356864993106929,0.04901258450556768,0.7281089065327502,-0.07456543521911072,0.9314945448860876,745,414,331,355
SPY,10,20,0.2,0.7,5,21,1.2,0.03631854608696772,0.05201955248685974,0.6981710597403133,-0.09607703948490812,0.9537442264107592,914,414,500,431
SPY,10,20,0.3,0.7,5,21,1.2,0.03679631556549312,0.053032972251359674,0.6938384556515165,-0.09607703948490856,0.9707237512222371,1071,571,500,493
SPY,10,20,0.3,0.8,3,21,1.2,0.03136289709336437,0.04545218129461573,0.6900196250224766,-0.07250966692467269,0.7856034530648983,828,533,295,521
SPY,10,20,0.2,0.8,3,21,1.2,0.03055529838893145,0.04439977556723191,0.6881858747836102,-0.07250966692467292,0.759535790985727,672,377,295,439
SPY,10,20,0.3,0.8,5,30,1.0,0.03127563675431366,0.04551612630985136,0.6871330952332046,-0.07061385226805555,0.7827693456550617,902,571,331,417
SPY,10,20,0.3,0.8,3,30,1.2,0.035843655765043,0.05242675221851989,0.6836901819827232,-0.08350583029525277,0.9370043413114273,828,533,295,521
SPY,10,20,0.3,0.7,5,30,1.2,0.041418694872484396,0.0610915082897718,0.677977938865505,-0.1140940200970521,1.1423742084352146,1071,571,500,493
SPY,10,20,0.2,0.7,5,30,1.2,0.039574759235431634,0.059931339161347935,0.6603349731413134,-0.11409402009705104,1.0722693117014912,914,414,500,431
SPY,10,20,0.2,0.8,3,30,1.2,0.03378901441095361,0.05124083435234503,0.6594157733383446,-0.08350583029525328,0.8661303761916415,672,377,295,439
SPY,10,20,0.2,0.8,5,30,1.0,0.029153986838398982,0.04456577883505216,0.6541787802318986,-0.07061385226805565,0.7151571432984236,745,414,331,355
SPY,10,20,0.3,0.8,5,21,1.0,0.02602760234063739,0.03987560704217359,0.6527199024985337,-0.06512687843161757,0.6199356898835038,902,571,331,417
SPY,10,20,0.3,0.8,3,30,1.1,0.030771564033873267,0.04786312467486235,0.6429075461100109,-0.07733546610844046,0.7664808650021251,828,533,295,521
SPY,10,20,0.2,0.8,5,21,1.0,0.024899308296992384,0.039011270138794615,0.6382593596262163,-0.06795601893200076,0.5868168912940801,745,414,331,355
SPY,10,20,0.3,0.8,3,21,1.1,0.02655968437688494,0.04167252760676903,0.6373427747773751,-0.06920011959056023,0.6357799665979724,828,533,295,521
SPY,10,20,0.2,0.8,3,21,1.1,0.025545765344803684,0.04080261935405389,0.6260815052861458,-0.06920011959056013,0.6057130646915618,672,377,295,439
SPY,10,20,0.2,0.8,3,30,1.1,0.02873476347654602,0.046903103655277174,0.6126409818790959,-0.0773354661084406,0.7020879132366509,672,377,295,439
SPY,10,20,0.3,0.7,5,30,1.1,0.03361448324270633,0.05581928824203419,0.6022019323670497,-0.1071677711819928,0.860224504514127,1071,571,500,493
SPY,10,20,0.3,0.7,5,21,1.1,0.02923912261122874,0.04871577322355385,0.6001982659097312,-0.0910669717042265,0.7178228192385914,1071,571,500,493
SPY,10,20,0.2,0.7,5,21,1.1,0.028278046261704715,0.047822564401934387,0.5913117921497512,-0.09265722980612315,0.6879571455945546,914,414,500,431
SPY,10,20,0.3,0.8,3,30,1.0,0.025435848482211254,0.04351308456287378,0.5845563176625179,-0.07316991030909942,0.6024851948328358,828,533,295,521
SPY,10,20,0.2,0.7,5,30,1.1,0.031461180554340995,0.054811891019526715,0.5739845856281981,-0.10716777118199224,0.78880068539255,914,414,500,431
SPY,10,20,0.3,0.8,3,21,1.0,0.02143237775220186,0.03811276932190751,0.5623411295878299,-0.06668023159573587,0.48901699574450475,828,533,295,521
SPY,10,20,0.2,0.8,3,30,1.0,0.023516950529577585,0.0427689833285959,0.5498599381915596,-0.07316991030909949,0.5471141118551435,672,377,295,439
QQQ,10,20,0.3,0.8,5,21,1.2,0.030906621856755745,0.056816926632181214,0.5439685616372318,-0.12330335955194724,0.7708312173713951,902,547,355,435
SPY,10,20,0.2,0.8,3,21,1.0,0.02032433776159981,0.03741685198107882,0.5431867376731089,-0.07115724817619565,0.4589827789324479,672,377,295,439
QQQ,10,20,0.3,0.8,5,30,1.2,0.0353069368869765,0.06501736300450785,0.5430385862393183,-0.14053277310617443,0.9182484784901292,902,547,355,435
QQQ,10,20,0.2,0.8,5,21,1.2,0.029080431553154762,0.05500757513122438,0.5286623066692429,-0.12330335955194711,0.7128572164531621,753,398,355,391
SPY,10,20,0.3,0.7,3,21,1.2,0.02640726357075529,0.05063610301478506,0.5215105823417083,-0.1478927074315351,0.631226266901838,995,533,462,619
SPY,10,20,0.2,0.7,3,21,1.2,0.025603545327044452,0.04969330053086456,0.5152313300490489,-0.14806825983880378,0.607412326002873,839,377,462,537
QQQ,10,20,0.2,0.8,5,30,1.2,0.031930911763049075,0.06301471043899531,0.5067215502634336,-0.1405327731061744,0.804156379481078,753,398,355,391
SPY,10,20,0.3,0.7,5,30,1.0,0.025612581797567868,0.05069395911091845,0.505239327264369,-0.09939709663137634,0.6076782349990879,1071,571,500,493
SPY,10,20,0.3,0.7,3,30,1.2,0.029091261901185383,0.058310612471275065,0.498901669323338,-0.1596528430535733,0.7131956763994707,995,533,462,619
SPY,10,40,0.2,0.8,3,21,1.2,0.0199645680890137,0.040868641345453025,0.48850579397190863,-0.08566854159933546,0.44935494601531834,677,354,323,397
SPY,10,40,0.3,0.8,3,21,1.2,0.020422315973357863,0.04216534961840254,0.48433882697950636,-0.09303767058955051,0.4616152553795232,781,458,323,451
QQQ,10,40,0.2,0.8,5,21,1.2,0.021226258434994705,0.04413893854227379,0.48089644055815683,-0.09367175827401672,0.48338603518701073,724,373,351,313
SPY,10,20,0.3,0.7,5,21,1.0,0.02140190135552067,0.044564799303170956,0.4802422919022961,-0.09893497367435052,0.48818314003453067,1071,571,500,493
SPY,10,20,0.2,0.7,3,30,1.2,0.027050014216685847,0.05724583272226785,0.4725237267124906,-0.16211702108403966,0.6505107520433933,839,377,462,537
SPY,10,20,0.2,0.7,5,30,1.0,0.023502582520574578,0.04984155590292845,0.47154592377389404,-0.11251418575768489,0.5467064293002417,914,414,500,431
SPY,10,40,0.2,0.8,5,21,1.2,0.019439051090718973,0.04130841981423466,0.4705832655457903,-0.09507675331610987,0.4353995722148858,721,372,349,293
QQQ,10,20,0.3,0.8,5,30,1.1,0.02792086863425869,0.059428072266199936,0.46982625499260633,-0.1326169194335234,0.6769835888406142,902,547,355,435
SPY,10,40,0.3,0.8,3,30,1.2,0.022749332711313963,0.04845814419132035,0.4694635564559805,-0.1001564574607711,0.5254753363536095,781,458,323,451
QQQ,10,40,0.3,0.8,5,21,1.2,0.02145677432552695,0.04617222865893245,0.46471168814537905,-0.09900236661236195,0.4896848219534069,852,501,351,363
SPY,10,20,0.2,0.7,5,21,1.0,0.020278694066712344,0.04379266622708279,0.46306141675775264,-0.11284871507694151,0.4577579583518323,914,414,500,431
QQQ,10,40,0.3,0.8,5,30,1.2,0.024491591240568544,0.05297451466479412,0.4623278079194032,-0.11243801782213665,0.5750076435033069,852,501,351,363
QQQ,10,20,0.3,0.8,5,21,1.1,0.024001323682214526,0.05231225352980187,0.45880882704739845,-0.11727078353659266,0.5609175499291359,902,547,355,435
SPY,10,40,0.2,0.8,3,21,1.1,0.017183971505797535,0.03757360700791175,0.45734154568069985,-0.08207983271038469,0.3769461467841706,677,354,323,397
SPY,10,40,0.3,0.8,3,21,1.1,0.01759302591682199,0.03855103354893148,0.45635678987676886,-0.0904715315041107,0.3873790154144914,781,458,323,451
QQQ,10,40,0.2,0.8,5,30,1.2,0.02302454985501079,0.050650807146957466,0.4545741944093352,-0.10991783241335809,0.5332004126893299,724,373,351,313
SPY,10,40,0.2,0.8,3,30,1.2,0.021223249218685014,0.04695985585257359,0.45194451374198363,-0.0986799903370745,0.48330397610493114,677,354,323,397
SPY,10,20,0.3,0.7,3,21,1.1,0.02081695224460911,0.04655894384611558,0.44710963189827324,-0.1522053900531014,0.47226393637732245,995,533,462,619
SPY,10,40,0.3,0.8,3,30,1.1,0.019624810632115297,0.04401088735124958,0.4459080880485383,-0.09460015806705574,0.4403179117345637,781,458,323,451
SPY,10,40,0.2,0.8,5,30,1.2,0.02096825539303193,0.04743095608403828,0.44207954307057035,-0.10572578893357214,0.4763660748978513,721,372,349,293
SPY,10,20,0.3,0.7,3,30,1.1,0.023524488230759033,0.05332821259050021,0.44112650861562236,-0.15871212123257245,0.5473280297202996,995,533,462,619
QQQ,10,20,0.2,0.8,5,21,1.1,0.022414389101871546,0.05084617904866172,0.4408274037744336,-0.1172707835365929,0.5161235065877314,753,398,355,391
QQQ,10,20,0.2,0.8,5,30,1.1,0.025124188410115877,0.05784691638181517,0.4343219998847501,-0.1326169194335237,0.5933662101210415,753,398,355,391
SPY,10,20,0.2,0.7,3,21,1.1,0.01980870523091416,0.04578149859213361,0.4326792665174526,-0.16508405989644576,0.4452025856704227,839,377,462,537
SPY,10,40,0.2,0.8,3,30,1.1,0.018406947316536026,0.042902085635286226,0.4290455124493209,-0.09212065475650182,0.4083609607896572,677,354,323,397
QQQ,10,40,0.3,0.8,5,30,1.1,0.0203996285266419,0.047586718238574806,0.4286832393940023,-0.10984235076849999,0.46100528978255295,852,501,351,363
SPY,10,40,0.3,0.8,5,21,1.2,0.018186151487687763,0.042624115009596494,0.426663438844262,-0.08685663470418536,0.4026395999589758,837,488,349,345
SPY,10,40,0.2,0.8,3,21,1.0,0.014615084037396864,0.034281504729895565,0.42632562813532565,-0.0793422917729039,0.3131056792556637,677,354,323,397
QQQ,10,40,0.2,0.8,5,21,1.1,0.017108191144722396,0.04015044016037306,0.42610220651098923,-0.09325904239667777,0.3750215532905885,724,373,351,313
QQQ,10,40,0.3,0.8,5,21,1.1,0.01778667514190846,0.041810643304740686,0.4254102241926453,-0.10341632761982589,0.39234406745297856,852,501,351,363
SPY,10,40,0.3,0.8,3,21,1.0,0.01484301720526604,0.03500714163846842,0.42399969007910776,-0.08872762583877503,0.31865481777805704,781,458,323,451
SPY,10,40,0.3,0.8,5,30,1.2,0.02066296292122538,0.048957944417911584,0.4220553613289716,-0.09041806457188888,0.46810005151535417,837,488,349,345
SPY,10,40,0.3,0.8,3,30,1.0,0.01668243886112486,0.0396056661552535,0.4212134394035944,-0.09134592209713129,0.36425598505692425,781,458,323,451
SPY,10,40,0.2,0.8,5,21,1.1,0.015871548167426752,0.03792487422680742,0.41849969158784595,-0.10933047904133247,0.34397216339384484,721,372,349,293
SPY,10,40,0.2,0.8,3,30,1.0,0.015923637994528228,0.0387992923265469,0.4104105265763598,-0.08760484338757978,0.34526652228952726,677,354,323,397
QQQ,10,40,0.2,0.8,5,30,1.1,0.018751316661138162,0.04572177020420507,0.4101179061394606,-0.10724798298945296,0.41732853759433053,724,373,351,313
SPY,10,20,0.2,0.7,3,30,1.1,0.021502007866722073,0.05246724552399899,0.409817737751963,-0.17761262121132718,0.4909237848981971,839,377,462,537
SPY,10,40,0.2,0.8,5,30,1.1,0.017303619732784936,0.04326386495796654,0.3999554766916097,-0.11812453636487662,0.37999004529405744,721,372,349,293
QQQ,10,20,0.3,0.7,5,21,1.2,0.024004998012314704,0.06089048073100434,0.3942323615141339,-0.12330335955194757,0.5610227034629411,1038,547,491,515
QQQ,10,40,0.3,0.8,5,30,1.0,0.016449307128286073,0.04240347268228527,0.38792358473880456,-0.13266735495887216,0.35839487924163493,852,501,351,363
SPY,10,40,0.2,0.7,5,21,1.2,0.0170776042632379,0.04494843072045797,0.37993771950452426,-0.15054862510905787,0.3742454600516296,831,372,459,335
SPY,10,40,0.3,0.8,5,30,1.1,0.01688769160244119,0.04446039886884874,0.37983670934345987,-0.09390260640756234,0.36943600319994996,837,488,349,345
QQQ,10,20,0.3,0.8,5,30,1.0,0.020514569831111773,0.054095935641123756,0.37922571424232077,-0.12496572634187862,0.4640980399046435,902,547,355,435
SPY,10,40,0.3,0.8,5,21,1.1,0.014751393500317622,0.03896916781136284,0.3785401210445231,-0.0996503859630077,0.31642153304083664,837,488,349,345
QQQ,10,20,0.3,0.7,5,30,1.2,0.026234873592638985,0.0697071740672847,0.37635830090193917,-0.1405327731061743,0.6260904349000056,1038,547,491,515
SPY,10,40,0.2,0.8,5,21,1.0,0.013009793999556596,0.03457221363258461,0.3763078100181226,-0.12100326372233004,0.27464570693530166,721,372,349,293
QQQ,10,40,0.3,0.8,5,21,1.0,0.014115024488690064,0.03764906347183147,0.3749103745768002,-0.12559687188233498,0.3010088548177523,852,501,351,363
QQQ,10,20,0.2,0.7,5,21,1.2,0.022191033528469628,0.05920493660394826,0.3748172838511198,-0.12330335955194716,0.509917476292685,889,398,491,471
SPY,10,40,0.2,0.8,5,30,1.0,0.01457839694966645,0.03909354038697554,0.3729106344771836,-0.12671295060737986,0.31221458332379903,721,372,349,293
SPY,10,20,0.3,0.7,3,30,1.0,0.01766097790249388,0.04857147837842046,0.36360799572327557,-0.15904755234164744,0.38911935222949046,995,533,462,619
QQQ,10,20,0.3,0.8,5,21,1.0,0.016954730382938932,0.04805511447078379,0.3528184371144709,-0.11156150037936817,0.3711319089954219,902,547,355,435
QQQ,10,40,0.2,0.8,5,21,1.0,0.0128002937352929,0.03630770890191427,0.3525503019172334,-0.11410795143436504,0.2697058448264864,724,373,351,313
QQQ,10,20,0.2,0.8,5,30,1.0,0.018625465045741585,0.05284692215092831,0.3524418128372384,-0.124965726341879,0.4140450390375465,753,398,355,391
QQQ,10,40,0.2,0.8,5,30,1.0,0.014360617018418509,0.04093845628506169,0.35078550393847296,-0.12713908925316578,0.30693668201036006,724,373,351,313
SPY,10,40,0.3,0.8,5,30,1.0,0.014020067545116088,0.03997311804648058,0.3507374012908778,-0.1151077707950319,0.2987237252995809,837,488,349,345
SPY,10,20,0.3,0.7,3,21,1.0,0.01487075929700521,0.0427157329046033,0.3481330714895131,-0.15523972576515213,0.3193317253585177,995,533,462,619
QQQ,10,40,0.2,0.7,5,21,1.2,0.01729481637825181,0.05020462763632451,0.3444864984067426,-0.1498009534518213,0.37976586751368857,843,373,470,363
SPY,10,40,0.3,0.7,5,21,1.2,0.015827606899227575,0.046160274154828866,0.3428837282495177,-0.16579963945707876,0.34288120161409164,947,488,459,387
SPY,10,40,0.2,0.7,5,30,1.2,0.017579324110360117,0.051673831734335436,0.3401978045819907,-0.16985177794986384,0.38702834488584714,831,372,459,335
QQQ,10,20,0.2,0.8,5,21,1.0,0.015904325885863324,0.04686329898014977,0.339377001448405,-0.1115615003793679,0.3447865059651143,753,398,355,391
SPY,10,40,0.3,0.8,5,21,1.0,0.011982809639031755,0.035354273433891636,0.33893525379437395,-0.11573127092097589,0.250602972322987,837,488,349,345
QQQ,10,20,0.2,0.7,5,30,1.2,0.022888431496232986,0.06784141704531244,0.3373813887310964,-0.14053277310617415,0.5293750859884145,889,398,491,471
QQQ,10,40,0.3,0.7,5,21,1.2,0.017524444845590903,0.052001369478031106,0.33699967946025755,-0.14833773540438813,0.38562466002005835,971,501,470,413
SPY,10,20,0.2,0.7,3,30,1.0,0.015756629064034078,0.04790484720645638,0.32891513036514763,-0.17971741153499696,0.34112075407318687,839,377,462,537
SPY,10,20,0.2,0.7,3,21,1.0,0.013769837286809583,0.042095323484630486,0.32711085571861964,-0.17139290843415209,0.2927201452357353,839,377,462,537
SPY,10,40,0.3,0.7,5,30,1.2,0.017275045005229916,0.05307884739957322,0.32546006274749695,-0.17465597892411158,0.3792625143604984,947,488,459,387
QQQ,10,40,0.3,0.7,5,30,1.2,0.019213736180147656,0.05964363694806308,0.3221422630024848,-0.1619276928977888,0.4294552673530374,971,501,470,413
SPY,10,40,0.3,0.7,3,21,1.2,0.014728466885966407,0.04630414637345498,0.318080950400802,-0.14437481235437186,0.31586326796911757,882,458,424,501
SPY,10,40,0.2,0.7,3,21,1.2,0.014273273186622859,0.04512628422656906,0.31629622139859603,-0.1468034427110087,0.3048255542568985,778,354,424,447
SPY,10,40,0.2,0.7,5,21,1.1,0.012767720754333078,0.04133096698194017,0.30891415533326416,-0.16719308907170777,0.2689394278962751,831,372,459,335
QQQ,10,40,0.2,0.7,5,30,1.2,0.017754252525532754,0.057589143984293496,0.30829165528792957,-0.16462553635732685,0.3915115998749621,843,373,470,363
QQQ,10,20,0.3,0.7,5,21,1.1,0.017001058594467544,0.0560210171888962,0.30347643523040646,-0.11727078353659273,0.37230505318146334,1038,547,491,515
QQQ,10,20,0.3,0.7,5,30,1.1,0.01916396417506183,0.06364317772151092,0.3011157654465226,-0.1326169194335238,0.4281453183748569,1038,547,491,515
SPY,10,40,0.3,0.7,3,30,1.2,0.01579160925068601,0.05321735115696662,0.29673797938773866,-0.15647510218351682,0.3419880866646099,882,458,424,501
QQQ,10,20,0.2,0.7,5,21,1.1,0.015424972596527198,0.054653732751481256,0.2822309075697879,-0.11727078353659263,0.33292367007599655,889,398,491,471
SPY,10,40,0.2,0.7,5,30,1.1,0.013317595875574906,0.047198393804405624,0.28216205684380313,-0.18379669749482833,0.281936464160192,831,372,459,335
SPY,10,40,0.3,0.7,3,21,1.1,0.011792297797106555,0.04253370146882409,0.27724598118388427,-0.15283075671168755,0.24619037516348152,882,458,424,501
SPY,10,40,0.3,0.7,5,21,1.1,0.01165098853445068,0.04229094598594039,0.2754960491620132,-0.18504172607635302,0.24292692401372107,947,488,459,387
SPY,10,40,0.2,0.7,3,30,1.2,0.014275907643999108,0.051855964362909956,0.2752992412616275,-0.1673336097421719,0.30488918266827025,778,354,424,447
QQQ,10,40,0.3,0.7,5,21,1.1,0.012862601972999599,0.04698722869636873,0.2737467675763062,-0.12805668966108827,0.27117313035316815,971,501,470,413
SPY,10,40,0.2,0.7,3,21,1.1,0.011385575176261709,0.04164961169772162,0.27336569807407207,-0.15583968025000283,0.2368192225599035,778,354,424,447
QQQ,10,40,0.3,0.7,5,30,1.1,0.01432217930200319,0.05342839150155793,0.2680630821832914,-0.13877881311958185,0.3060072322732639,971,501,470,413
QQQ,10,40,0.2,0.7,5,21,1.1,0.012187400495547784,0.04551593882831157,0.2677611581630619,-0.1301819314717376,0.25535813528972384,843,373,470,363
SPY,10,40,0.3,0.7,5,30,1.1,0.012903297444976758,0.04829744127213997,0.2671631685883934,-0.19452528505383787,0.2721323272022085,947,488,459,387
SPY,10,40,0.3,0.7,3,30,1.1,0.012860369216247225,0.04853772086707945,0.26495618225390816,-0.16054124489937702,0.27112052384459706,882,458,424,501
QQQ,10,20,0.2,0.7,5,30,1.1,0.016391108996476556,0.06216782624016072,0.2636590337444969,-0.13261691943352374,0.3569354575581891,889,398,491,471
SPY,10,40,0.2,0.7,5,21,1.0,0.009393160265990907,0.03781161957893527,0.248419939970617,-0.17507867129803453,0.19186860455507193,831,372,459,335
SPY,10,40,0.2,0.7,3,30,1.1,0.011650585505013078,0.04753396146310089,0.2451002429927297,-0.17140356234617043,0.24291762787654414,778,354,424,447
