hedge_ratio,window_years,start_date,end_date,annual,max_dd,sharpe,vol,total_return
0.5,1,2025-04-09,2026-04-09,0.4505227454912655,-0.15982919955718708,2.6855054864378793,0.16776087323837494,0.45015353565704497
0.6,1,2025-04-09,2026-04-09,0.41990408826279024,-0.15245060431233118,2.5730465852361037,0.16319334856669906,0.41956340140850745
0.7,1,2025-04-09,2026-04-09,0.38961663243212086,-0.14505433177144117,2.436310187032481,0.159920782873173,0.3893037158213235
0.8,1,2025-04-09,2026-04-09,0.3596670067673242,-0.1377291471849804,2.2760327774744193,0.15802364989067763,0.35938110674857304
0.9,1,2025-04-09,2026-04-09,0.33006145497953976,-0.1331585928520763,2.094941362731093,0.1575516436170087,0.3298018177813862
1.0,1,2025-04-09,2026-04-09,0.30080583938920147,-0.12861951987126227,1.8976191825237991,0.15851749505880056,0.30057171189464005
1.1,1,2025-04-09,2026-04-09,0.2719056449154629,-0.12411255526817924,1.6899538061729267,0.1608953120033624,0.27169627541527186
1.2,1,2025-04-09,2026-04-09,0.24336598337584703,-0.11963832339118484,1.4783148112513176,0.16462392280968235,0.24318062230027881
1.3,1,2025-04-09,2026-04-09,0.21519159808268218,-0.11519744578748112,1.268711652877754,0.16961426782403555,0.21502949871101484
1.4,1,2025-04-09,2026-04-09,0.187386868723171,-0.11079054107949637,1.066158596642263,0.17575890614522377,0.1872472878706828
1.5,1,2025-04-09,2026-04-09,0.15995581650967283,-0.11294832137537718,0.8743547031605216,0.18294156356851754,0.1598380151916483
0.5,3,2023-04-10,2026-04-09,0.3099704607603917,-0.15982919955718733,1.7185579279857945,0.1803666060437585,1.2466929602381014
0.6,3,2023-04-10,2026-04-09,0.30468379871243867,-0.15245060431233143,1.7866242537319592,0.1705360251748543,1.219620009133903
0.7,3,2023-04-10,2026-04-09,0.2989134172844983,-0.14505433177144153,1.8396062498001728,0.16248771568207476,1.1903190708542661
0.8,3,2023-04-10,2026-04-09,0.29266735252767284,-0.13772914718498075,1.8701160324567012,0.15649689508474335,1.158894479127491
0.9,3,2023-04-10,2026-04-09,0.285954041548548,-0.13315859285207596,1.8713565558729626,0.15280574973867248,1.1254557161462975
1.0,3,2023-04-10,2026-04-09,0.2787823088535366,-0.12861951987126236,1.8391473234898859,0.15158236933653116,1.0901168355845439
1.1,3,2023-04-10,2026-04-09,0.2711613521922773,-0.12411255526817938,1.773617870643253,0.15288600587562468,1.052995873728317
1.2,3,2023-04-10,2026-04-09,0.26310072793148587,-0.11963832339118462,1.679506595627163,0.15665358422319176,1.0142142526439266
1.3,3,2023-04-10,2026-04-09,0.25461033599111027,-0.13692388636028108,1.5647717719966414,0.1627140395472681,0.9738961792697396
1.4,3,2023-04-10,2026-04-09,0.24570040437519136,-0.16571100433468317,1.4383290047538662,0.1708235066963951,0.932168044253781
1.5,3,2023-04-10,2026-04-09,0.23638147333015125,-0.20222731783347556,1.3080972991708641,0.18070633849636517,0.8891578242645171
0.5,5,2021-04-09,2026-04-09,0.2593876508657471,-0.1598291995571869,1.5331589459483432,0.16918510083460497,2.167587327384177
0.6,5,2021-04-09,2026-04-09,0.25645416800519794,-0.15245060431233143,1.5944764236710642,0.16083910943928995,2.1308725905476398
0.7,5,2021-04-09,2026-04-09,0.2530542123682302,-0.1450543317714412,1.638106495984682,0.1544797075089534,2.0887463647189746
0.8,5,2021-04-09,2026-04-09,0.24919286144800834,-0.1377291471849802,1.657317312912572,0.1503591735309133,2.0414545404083366
0.9,5,2021-04-09,2026-04-09,0.24487561993225526,-0.13793812066512556,1.6471773067622233,0.148663789215015,1.989266933419564
1.0,5,2021-04-09,2026-04-09,0.24010840994616145,-0.14728587821533373,1.606333153716098,0.1494760967802312,1.932474835615813
1.1,5,2021-04-09,2026-04-09,0.23489756069889323,-0.16522501052409494,1.5377295347027722,0.15275609617805552,1.8713884284112203
1.2,5,2021-04-09,2026-04-09,0.22924979755840713,-0.18289565685814893,1.4477363313068616,0.15835051770198025,1.806334089767521
1.3,5,2021-04-09,2026-04-09,0.22317223058006297,-0.20029881336749594,1.3442040148582979,0.16602556465626175,1.7376516259787018
1.4,5,2021-04-09,2026-04-09,0.21667234251549283,-0.2174355655894023,1.2345405231166173,0.17550848956217333,1.6656914595866694
1.5,5,2021-04-09,2026-04-09,0.20975797632884463,-0.23430708565038172,1.1245643987128808,0.186523756726536,1.590811804393728
0.5,10,2016-04-11,2026-04-09,0.23964190344919767,-0.15982919955718694,1.6317816432691115,0.14685905092613927,7.557046738724948
0.6,10,2016-04-11,2026-04-09,0.2433107043613374,-0.15245060431233115,1.7762707259572272,0.13697839006507184,7.81351940261337
0.7,10,2016-04-11,2026-04-09,0.2465336270519558,-0.14505433177144106,1.908622208064437,0.1291683739245439,8.044507621029476
0.8,10,2016-04-11,2026-04-09,0.24930833913620165,-0.13772914718498025,2.013450473193073,0.12382144108110629,8.247721055684304
0.9,10,2016-04-11,2026-04-09,0.2516329521597056,-0.13793812066512573,2.0750863303857434,0.1212638474240871,8.421123366731349
1.0,10,2016-04-11,2026-04-09,0.2535060234931461,-0.14728587821533337,2.083526328833382,0.12167161988065225,8.562966038410911
1.1,10,2016-04-11,2026-04-09,0.2549265575250781,-0.16522501052409405,2.0391556113981784,0.12501574480148858,8.671817575141727
1.2,10,2016-04-11,2026-04-09,0.2558940061533097,-0.18289565685814754,1.9523213540364852,0.13107166277940918,8.746587389996828
1.3,10,2016-04-11,2026-04-09,0.2564082685763893,-0.2016671463838723,1.838228466751112,0.1394866161710387,8.786543831935562
1.4,10,2016-04-11,2026-04-09,0.25646969038835077,-0.22143346536912567,1.7113524598760332,0.14986374601461636,8.79132593898417
1.5,10,2016-04-11,2026-04-09,0.25607906198111463,-0.24082177840866892,1.582434441026377,0.1618260165110032,8.760948657374175
0.5,15,2011-04-11,2026-04-09,0.2757294612160648,-0.2415190715312499,1.8348691146311176,0.1502720052440893,37.53648165953239
0.6,15,2011-04-11,2026-04-09,0.27155208559726796,-0.2018500417921389,2.008537486495719,0.13519891335015258,35.68701930791779
0.7,15,2011-04-11,2026-04-09,0.2667220810477384,-0.16067593372597064,2.1764345301481742,0.12255001349826024,33.65198720677184
0.8,15,2011-04-11,2026-04-09,0.26124899420272474,-0.13772914718498014,2.3090506030393834,0.1131413031220905,31.473532400717183
0.9,15,2011-04-11,2026-04-09,0.2551432331518646,-0.1379381206651255,2.3662856710496976,0.10782435792660724,29.19440473423717
1.0,15,2011-04-11,2026-04-09,0.24841603922864652,-0.1472858782153332,2.3171042256781216,0.10720969582451359,26.856619676836022
1.1,15,2011-04-11,2026-04-09,0.2410794572105759,-0.1652250105240948,2.1645704123359035,0.11137519751571129,24.500247166005988
1.2,15,2011-04-11,2026-04-09,0.23314630402896586,-0.18289565685814788,1.945749889685572,0.11982336746612468,22.162370877849156
1.3,15,2011-04-11,2026-04-09,0.22463013609026472,-0.20924270782987892,1.7051950563768437,0.1317328098332359,19.87624978827536
1.4,15,2011-04-11,2026-04-09,0.21554521531377824,-0.32207774991815474,1.4737082482950836,0.14626043897300572,17.67070056551929
1.5,15,2011-04-11,2026-04-09,0.20590647399286777,-0.4304236400858878,1.2655090067953432,0.16270644688202268,15.56970618629969
